X1,X2,Y
26,13,0
43,98,0
79,42,1
68,55,1
71,46,1
64,60,1
26,99,0
42,68,0
31,10,0
9,29,0
68,47,1
55,9,1
99,82,1
76,0,1
27,76,0
40,24,0
49,1,0
46,71,0
47,79,0
71,28,1
81,92,1
48,53,0
6,47,0
72,20,1
57,100,1
87,84,1
15,52,0
62,24,1
8,10,0
25,25,0
92,81,1
38,52,0
43,62,0
34,13,0
38,35,0
63,28,1
78,74,1
59,86,1
90,19,1
90,45,1
85,72,1
89,67,1
77,96,1
54,34,1
39,1,0
73,87,1
66,99,1
95,81,1
95,69,1
42,37,0
79,55,1
52,44,1
97,80,1
68,5,1
27,96,0
3,86,0
83,14,1
31,46,0
46,81,0
29,63,0
11,100,0
36,76,0
57,30,1
6,58,0
24,78,0
33,33,0
20,66,0
42,4,0
9,96,0
26,61,0
42,91,0
5,93,0
46,66,0
43,22,0
54,82,1
22,15,0
28,87,0
70,5,1
87,88,1
35,41,0
59,52,1
75,21,1
52,99,1
78,15,1
29,5,0
51,37,1
93,30,1
14,93,0
4,71,0
66,63,1
15,9,0
90,29,1
70,83,1
95,40,1
60,79,1
12,91,0
93,73,1
85,76,1
2,8,0
6,37,0
