X1,X2,Y
82,13,0
18,76,0
92,34,0
79,80,0
100,2,0
66,80,0
87,50,0
51,11,1
53,17,1
31,74,0
85,6,0
82,52,0
56,66,1
73,64,0
88,35,0
20,39,0
52,64,1
87,31,0
69,38,0
38,64,0
60,46,0
95,83,0
47,61,1
12,50,0
67,22,0
89,50,0
81,49,0
65,73,0
97,86,0
72,89,0
42,81,1
10,44,0
70,52,0
17,96,0
3,70,0
22,81,0
19,95,0
72,55,0
91,30,0
60,3,0
46,56,1
46,13,1
80,40,0
47,55,1
39,23,0
31,37,0
74,87,0
35,1,0
54,83,1
1,48,0
14,18,0
47,83,1
2,96,0
65,70,0
45,71,1
32,28,0
75,13,0
70,66,0
69,87,0
45,69,1
29,70,0
51,3,1
30,14,0
96,44,0
72,99,0
76,18,0
41,88,1
0,8,0
56,84,1
30,32,0
27,25,0
22,18,0
65,52,0
59,99,1
80,30,0
62,8,0
87,11,0
61,71,0
70,2,0
14,27,0
10,98,0
31,71,0
84,38,0
30,44,0
55,45,1
26,97,0
12,96,0
39,18,0
15,20,0
15,92,0
72,42,0
17,54,0
60,53,0
99,49,0
42,10,1
52,51,1
46,86,1
55,34,1
45,37,1
43,16,1
